Title,Rating,Votes,Duration,Genre
33. Freaky Tales,6.4,418,106,Action
45. Baby Invasion,4.7,354,80,Action
81. Hitpig,5.1,888,86,Action
82. Dark Match,5.5,902,94,Action
89. Raqa,5.7,160,107,Action
91. Mafia Wars,3.3,224,94,Action
100. Overlord: The Sacred Kingdom,7.0,804,135,Action
102. Black Heat,8.6,112,93,Action
110. Anaconda,4.9,612,84,Action
112. Rats!,7.6,104,85,Action
123. Joe Baby,7.6,29,86,Action
124. Operation Undead,4.6,386,110,Action
134. The Quiet Ones,6.4,625,110,Action
140. Hellhound,4.3,498,103,Action
141. 11 Rebels,6.2,334,155,Action
142. Harbin,6.4,530,108,Action
145. The Twisters,2.6,320,86,Action
151. Outlaw,5.2,915,82,Action
159. Cloud,6.4,953,124,Action
160. A Legend,4.7,872,129,Action
162. Operation Blood Hunt,3.4,468,93,Action
165. Agent Recon,2.4,667,85,Action
170. Crosspoint,6.9,36,100,Action
173. Sunray: Fallen Soldier,4.3,614,115,Action
174. Striking Rescue,5.6,377,106,Action
178. The Last Ronin,4.8,553,115,Action
180. Utopia,3.6,352,91,Action
182. Snow White and the Seven Samurai,3.2,282,88,Action
186. The Lost Tiger,7.8,42,90,Action
187. Drive Back,4.7,293,94,Action
188. Alien: Rubicon,2.4,334,86,Action
193. Fight Another Day,5.0,334,97,Action
194. Jacob Tyler,4.6,51,133,Action
197. Continental Split,3.5,540,88,Action
198. Alien Country,4.4,357,96,Action
199. Agents,3.5,919,82,Action
204. 72 Hours,4.1,283,87,Action
207. 12 to Midnight,3.6,278,96,Action
208. London Calling,7.7,19,109,Action
209. The Hangman,3.3,993,92,Action
210. Terminator: Skynet Rising,6.8,263,88,Action
211. Handsome Guys,6.5,782,101,Action
212. Revolver,5.4,835,114,Action
213. Zero,6.1,39,88,Action
214. Troubleshooters,6.8,405,110,Action
218. (Pri)sons,5.1,266,100,Action
219. Don't Mess with Grandma,6.0,149,81,Action
220. Roadkill,3.7,675,90,Action
221. The Lockdown,4.3,601,117,Action
224. Big Rage,3.6,161,115,Action
225. WWII: Operation Phoenix,6.3,68,106,Action
226. Young Lion of the West,5.2,108,93,Action
229. The Last Front,5.5,606,98,Action
230. War of the Worlds: Extinction,3.0,194,84,Action
231. Exorcism Chronicles: The Beginning,7.3,88,85,Action
233. Spiders on a Plane,5.3,370,78,Action
234. Escape from the 21st Century,6.5,837,98,Action
"235. Love, Courage and the Battle of Bushy Run",4.9,178,113,Action
239. Devil's Knight,5.4,784,90,Action
240. Get Fast,3.6,445,88,Action
242. The Slave and the Sorcerer,6.6,39,86,Action
243. Ryan's World the Movie: Titan Universe Adventure,1.8,673,80,Action
246. Cassino in Ischia,4.4,238,113,Action
250. The Ballad of Davy Crockett,4.6,246,96,Action
251. Everybody Loves Jenifa,8.4,80,135,Action
253. Cesium Fallout,6.6,500,136,Action
254. 40 Acres,6.6,110,113,Action
256. Deaner '89,5.9,416,90,Action
257. Invasion,4.8,671,91,Action
258. Tales Beyond the Galaxy,5.1,162,76,Action
264. Snatched,4.9,209,101,Action
266. Rajakili,7.4,565,122,Action
267. Je Jatt Vigarh Gya,5.7,821,132,Action
268. Ka Whawhai Tonu,7.4,175,115,Action
269. Paradise,6.9,77,83,Action
272. Barroz: Guardian of Treasures,3.5,984,155,Action
273. School of Magical Animals 3,5.9,307,105,Action
274. Hunting with Tigers,5.6,518,109,Action
275. The Charisma Killers,6.2,651,101,Action
278. The Last of Us: Immunity,5.8,14,64,Action
279. Cells at Work!,6.8,175,109,Action
280. Citizen of a Kind,6.7,782,114,Action
281. Stuntman,7.0,154,114,Action
284. Sasan,8.6,67,155,Action
285. Kahar: Kapla High Council,7.0,446,102,Action
286. Shark Warning,3.4,253,94,Action
288. The Plot,4.8,370,100,Action
289. SCP: The Infinite Mission,5.9,30,0,Action
290. Onsen shâku,6.0,10,70,Action
291. Taken from Rio Bravo,3.0,310,80,Action
294. The Kingdom,7.9,86,133,Action
296. The Friendly,8.1,15,101,Action
297. Xiong Shi Shao Nian 2,7.5,195,134,Action
298. Orang Ikan,6.5,32,83,Action
299. Diabel,5.1,230,108,Action
300. Pimpinero: Blood and Oil,5.6,544,121,Action
301. Art of Eight Limbs,3.9,307,101,Action
303. Baby Assassins: Nice Days,7.3,284,103,Action
304. The Unbreakable Bunch,7.2,26,0,Action
306. Gravediggers,6.4,29,91,Action
307. Echo 8,3.9,183,96,Action
308. Sunfall,2.3,36,74,Action
310. Lisabi: The Uprising,6.4,121,107,Action
311. The Actor,3.3,723,128,Action
313. No Time to Spy: A Loud House Movie,6.4,440,81,Action
315. Big City Greens the Movie: Spacecation,6.2,537,83,Action
316. Rogue Elements: A Ryan Drake Story,4.8,933,44,Action
318. Crisis Negotiators,6.7,702,120,Action
320. Matka,4.7,580,156,Action
321. The Bouncer,4.2,84,78,Action
322. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2,653,174,Action
323. The Epidemic,5.8,69,95,Action
324. High Forces,5.8,516,119,Action
326. Bureau 749,4.1,506,123,Action
329. Clownface 3,9.5,35,104,Action
330. American Underdog,8.8,23,89,Action
331. Ghosts of Red Ridge,3.3,145,81,Action
332. Hiranya,5.7,18,138,Action
333. Sucha Soorma,6.4,914,136,Action
334. Desperado,5.9,141,100,Action
335. 6 Hours Away,3.9,242,93,Action
337. Mongol,8.6,92,155,Action
338. Lady Scorpions,3.6,364,101,Action
339. Gandhi 3,5.5,237,143,Action
342. Eye for an Eye 2,6.6,497,90,Action
343. The Grey Men,6.4,69,97,Action
344. Clone Cops,8.0,190,96,Action
346. Nothing Even Matters,5.5,75,90,Action
347. Witch Hunter,5.2,23,80,Action
349. Love You to Debt,6.2,753,135,Action
350. Purushothamudu,7.7,12,120,Action
351. September Babies,6.1,284,94,Action
352. Memes & Nightmares,5.7,82,81,Action
353. Dirty Money,5.6,111,100,Action
354. Black Creek,8.6,7,116,Action
355. Go for Broke,5.7,270,115,Action
356. Customs Frontline,5.4,471,115,Action
357. Conquer: Lahad Datu,6.7,503,120,Action
358. Mobile Suit Gundam SEED Freedom,6.6,940,124,Action
359. Kadakan,4.0,112,128,Action
360. Camp Blood: Clown Shark,3.3,83,70,Action
361. Naam,6.4,275,136,Action
364. My Fathers' Daughter,6.6,71,78,Action
365. Nu Huo 12 Xiao Shi,6.0,47,86,Action
366. Hitler,5.2,303,128,Action
367. Iron Fighter,3.6,62,80,Action
368. Rendel: Cycle of Revenge,3.6,244,99,Action
369. Appudo Ippudo Eppudo,4.7,229,120,Action
370. Shu Si Yi Bo,6.6,32,91,Action
371. Mahadev Ka Gorakhpur,7.8,368,131,Action
372. Ballistic,2.3,161,95,Action
373. The Experts,6.2,262,121,Action
374. The Miranda Brothers,4.4,188,99,Action
375. They Call Her Death,6.5,25,92,Action
376. Midas,4.6,335,85,Action
377. Anunnakiler,2.5,439,76,Action
379. Sikaar,8.3,676,150,Action
380. Correr para Vivir,7.0,195,97,Action
381. S.T.A.L.K.E.R.: Shadow of the Zone,5.2,451,72,Action
382. Mirza: Part 1 - Joker,6.8,236,165,Action
385. Next to Us,4.9,221,125,Action
386. Samandar,7.6,136,172,Action
387. Ship of the Damned,2.8,295,88,Action
388. Zoloto Umalty,4.9,108,109,Action
389. Thundu,5.0,903,125,Action
391. Ameena,6.3,18,107,Action
393. Six jours,6.4,99,95,Action
394. Aserb: The Squadron,5.2,301,120,Action
395. The Mick and the Trick,5.0,75,96,Action
397. Texas Twister,2.5,157,88,Action
398. Ghost Killer,7.1,61,105,Action
399. Drive,5.6,319,90,Action
400. Shark Island,4.0,114,81,Action
401. Red vs. Blue: Restoration,5.6,135,85,Action
402. Prepare to Die,4.6,230,93,Action
403. Agastya - Chapter 1,7.0,595,168,Action
404. Gold Raiders,2.0,182,88,Action
408. Angel of the Warrior,8.5,134,90,Action
409. Blade of Fury,6.1,116,90,Action
413. Ape X Mecha Ape: New World Order,2.8,134,87,Action
414. Road Wars: Max Fury,2.0,350,83,Action
415. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,6.9,15,90,Action
419. Breaking and Re-entering,5.8,438,109,Action
420. The Omicron Killer,2.9,594,98,Action
423. The Firefighters,5.7,168,106,Action
428. Kill Craft,2.3,361,99,Action
431. The Day Everything Changed,7.9,78,97,Action
432. Buying Time,7.0,261,84,Action
433. Rode College,6.6,423,168,Action
434. First Nights at Freddy's,9.3,15,98,Action
437. Buddy,3.9,342,137,Action
438. Yuva,5.8,834,153,Action
441. Kuang Bao Ju Xi,6.1,69,75,Action
443. Aho Vikramaarka,7.4,53,136,Action
444. The Infallibles,4.8,750,99,Action
445. Dragon Ball Z Kai,8.4,67,82,Action
448. Soodhu Kavvum 2: Naatum Naatu Makkalum,3.7,199,129,Action
449. What Happens in Miami,4.3,219,90,Action
450. Kung Fu Games,3.3,376,98,Action
451. Bidurbhai,9.2,377,148,Action
452. Bhaje Vaayu Vegam,6.1,550,136,Action
453. Pusaka,6.4,31,90,Action
454. Sous écrous,5.3,34,111,Action
456. Captain Avispa,5.8,173,96,Action
457. Fyre Rises,6.5,321,110,Action
458. Bull Shark 2,3.0,152,75,Action
459. Bangkok Breaking: Heaven and Hell,5.8,659,146,Action
460. 12 Gaun,6.3,883,147,Action
461. In Tenebras: Into the Darkness,3.3,172,90,Action
462. Sentimentaaal,5.8,971,135,Action
463. Tokusou Sentai Dekaranger 20th: Fireball Booster,7.1,30,50,Action
464. Bonus Trip,4.5,223,113,Action
465. Megdan: Between Water and Fire,5.4,719,106,Action
466. Breaking Tradition,6.9,25,87,Action
467. Spirit Riser,6.7,33,98,Action
468. Rang De Basanti,8.8,144,174,Action
469. Panjab Files,8.0,18,117,Action
472. Kamen Rider 555 20th: Paradise Regained,5.9,141,65,Action
473. Sayen: The Huntress,4.4,253,88,Action
475. Neon Fear,6.1,399,40,Action
476. Bhairadevi,8.8,44,134,Action
477. Dark Fusion,8.5,235,90,Action
479. Bangkok Dog,5.3,110,85,Action
480. Artist Unknown,8.9,13,82,Action
481. Oru Anveshanathinte Thudakkam,7.1,830,181,Action
483. The Evil Three,7.0,877,30,Action
484. Mazhai Pidikatha Manithan,4.5,421,133,Action
487. The Desperate Chase,5.6,55,110,Action
489. Where Is Gilgamesh?,9.0,605,90,Action
490. Gangs of Godavari,5.0,901,165,Action
491. South Side Hero,5.4,36,92,Action
492. How to Make a Werewolf,6.0,136,0,Action
493. Kondal,5.4,765,147,Action
495. Bad Boyz,4.6,606,150,Action
496. Fuuto PI: Portrait of Kamen Rider Skull,7.5,36,82,Action
497. Taklee Genesis x Worlds Collide,5.4,394,146,Action
498. DNA,5.2,209,156,Action
499. Bond of Justice: Kizuna Part I - Encounter,6.1,17,92,Action
500. Touchdown,6.8,13,78,Action
501. Honeko Akabane's Bodyguards,5.9,37,117,Action
503. Formed Police Unit,4.6,474,120,Action
506. The Moon Thieves,6.2,225,108,Action
508. Komandir,6.3,516,131,Action
509. Death Game,6.3,24,88,Action
510. The Traveller,5.2,204,134,Action
512. Deadzone,4.2,34,80,Action
516. Tòkunbò,3.9,291,113,Action
517. Gone with the Dead,4.4,47,96,Action
518. Saint Young Men: Holy Men vs Demon Army,3.0,13,93,Action
519. The Circuit 4: Faith Fighter,4.4,87,90,Action
520. Polar,4.4,28,76,Action
521. Bloodline,9.2,49,80,Action
522. Karma,4.5,17,111,Action
524. Shekko,6.0,545,120,Action
525. Black Storm,6.6,65,97,Action
526. The Last Chainsaw Massacre,3.9,39,75,Action
527. Achilles Curse and the Curse of Treasure,7.4,25,125,Action
528. Kizumonogatari: Koyomi Vamp,7.0,84,144,Action
529. Neo-Dome,6.6,16,15,Action
530. Checkmate,4.3,385,104,Action
532. Chasing Raine,2.3,187,101,Action
533. Mutant,4.5,59,90,Action
534. Mummy Shark,2.0,175,66,Action
536. Hunt the Wicked,5.3,108,102,Action
537. Por,5.0,609,154,Action
538. Hit List,5.5,310,125,Action
539. Mother Mafia,3.3,48,80,Action
540. Kade,6.5,15,92,Action
541. Iddaru,9.1,295,148,Action
544. Kali,5.1,411,96,Action
545. Spider-Man: Final Swing,8.4,10,153,Action
548. Losing Lerato 2,9.1,31,96,Action
549. London Gangsters,4.3,11,104,Action
555. Second Life,6.8,46,105,Action
556. Zénithal,5.3,72,80,Action
559. Transformers Prime: Galavatron's Revenge,3.0,5,104,Action
560. Hain,2.9,45,95,Action
564. Türkler Çildirmis Olmali 2: Mavi Vatan,2.2,155,100,Action
565. Ame no naka no yokujô,5.9,69,132,Action
566. Hakkenden,5.7,74,149,Action
568. Inkabi,4.7,79,101,Action
570. Sumaho o otoshita dake na no ni: Saishusho Final Hacking Game,8.1,15,116,Action
572. Naag Bhoomi,5.7,8,130,Action
573. Yakuza Girl,2.3,66,82,Action
574. Hrashwo Deergha,7.9,80,150,Action
577. Supplier Shankara,9.3,70,163,Action
579. The Worlds Divide,8.0,38,120,Action
580. Dange,5.3,791,154,Action
583. Stranded Pearl,6.0,27,90,Action
584. The Vampire and the Vigilante,3.7,49,75,Action
585. Jorge da Capadócia,6.4,129,119,Action
586. Virunnu,7.9,875,125,Action
588. Itutumba ka ng tatay ko,5.7,29,109,Action
590. Mega Twister,2.3,49,75,Action
591. Love You as the World Ends Final,6.4,37,115,Action
592. Warning 2,7.1,881,125,Action
593. The Captives,3.5,66,73,Action
596. Kamen Rider Gotchard: The Future Daybreak,7.9,69,63,Action
597. 24 Hours to D-Day,4.6,36,83,Action
598. Bheema,5.8,947,148,Action
599. Abudeka Is Back,5.3,33,120,Action
602. Ultraman Blazar the Movie: Tokyo Kaiju Showdown,7.5,84,75,Action
605. Killer Ex,3.9,52,94,Action
607. Bonnie,7.4,33,120,Action
608. Dreams,7.3,7,106,Action
609. Die Chaosschwestern und Pinguin Paul,5.7,66,100,Action
610. Viswam,4.3,631,155,Action
611. Dünya Mali: Eksi Bir,7.2,16,133,Action
612. Star Abyss,3.8,241,86,Action
613. The Alexandrian,3.9,251,104,Action
614. Lie Zhan,6.9,66,93,Action
615. Guy Manley: Super Spy,4.4,117,92,Action
616. Thiragabadara Saami,6.4,96,115,Action
617. Surrender,7.8,15,149,Action
618. Emanet,7.9,30,97,Action
619. The Bodyguard,6.6,29,87,Action
620. Uninvited,6.8,71,93,Action
622. Bloodlust,8.2,11,97,Action
624. Cholo Zombies,4.7,102,96,Action
625. Brattt,4.7,67,117,Action
626. Holy Punch,5.3,42,98,Action
627. Rocky and Bullwinkle,9.1,12,100,Action
628. Rebel,3.1,65,100,Action
629. Roxana,3.9,65,98,Action
630. Pariah Volume 1: Every Street Dog Has a Name,6.8,386,138,Action
632. Election,5.9,808,120,Action
633. Inanimate Insanity II: The Movie,8.4,227,106,Action
634. Death Bitch,7.5,19,88,Action
635. Hide and Seek,8.2,54,130,Action
636. Permafrost,5.7,114,80,Action
638. Marni: The Story of Wewe Gombel,5.9,203,119,Action
639. UmroAyyar - A New Beginning,6.9,671,135,Action
641. Blood Vendetta,7.7,236,90,Action
642. The Burden of Nine Lives,4.8,100,116,Action
644. Athhoi,8.0,133,158,Action
645. Halloween: Mal Eterno,8.2,224,50,Action
647. Dead Hand,4.1,75,92,Action
650. Warrior Awang and Master Tok Gajah,4.6,472,118,Action
"651. Bullets, Brothers and Blood",7.8,13,85,Action
652. Serra das Almas,6.3,10,120,Action
653. Chaari 111,4.8,258,130,Action
654. Firework,6.6,11,60,Action
657. Joshua: Imai Pol Kaka,4.5,585,130,Action
659. Jurassic Exorcist,3.8,22,76,Action
661. Thankamani,4.6,229,156,Action
662. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.9,31,71,Action
663. Tariq,6.9,15,122,Action
667. Dangerous Boys 2,5.1,9,115,Action
"671. Silex and the City, le film",4.9,50,77,Action
672. Yao Shen Ling,6.7,66,93,Action
674. Gam Gam Ganesha,5.3,309,140,Action
680. Nothing Unusual,9.7,12,92,Action
681. The Escapee 3: The Final Escape,2.6,64,83,Action
682. Kiyma: Orman Kanunlari,4.3,35,81,Action
683. Babu,7.6,182,142,Action
684. The Wild Blade of Strangers,6.2,113,102,Action
685. Too Little Too Late,5.5,8,66,Action
686. Villain - Life of a Gangster,8.9,156,141,Action
689. Krishnamma,6.2,364,138,Action
692. The Bottom Line,7.0,10,107,Action
693. Telekinesis,5.9,60,106,Action
694. Surge of Power: Where There's Smoke,6.5,13,68,Action
695. Sacrum Vindictae II,4.5,13,114,Action
696. The Yoshi Movie,7.7,12,105,Action
699. Shadows of Betrayal: Chronicles of Ian Blair,7.3,12,65,Action
703. The Drunken Prodigy,5.6,15,107,Action
707. El Duro,5.9,12,90,Action
708. Dhaaak,8.6,24,128,Action
710. Hell City,9.1,26,90,Action
711. Raja 420,6.1,21,81,Action
713. Played,6.2,11,96,Action
718. E-mail,5.4,805,119,Action
720. Hope & Glory,6.6,142,44,Action
722. Appu,8.6,181,92,Action
725. Useful Idiots,8.0,15,92,Action
727. Dr. Jason II - Lights & Shadows,5.3,295,62,Action
730. Kamen Rider Geats: Jyamato Awaking,7.9,71,54,Action
731. Joachim and the Apocalypse,7.2,13,90,Action
736. Jigar,7.1,18,122,Action
737. The SML YTP Movie 2: Dimension Trouble,8.3,13,94,Action
740. Rock 'n' Roll Ringo,6.4,52,101,Action
742. Dark World,4.6,15,135,Action
743. Operation Star,7.6,23,102,Action
745. Di Renjie: Tongtian xuan an,7.2,16,85,Action
746. Kill the Children first,7.8,26,106,Action
747. Max Beyond,6.6,17,93,Action
748. Marine Drive,9.5,49,105,Action
750. Shri Swapankumarer Badami Hyenar Kobole,5.6,324,146,Action
752. Faster: Only one lap,7.1,23,90,Action
753. Mobile Suit Gundam: Silver Phantom,6.1,13,90,Action
757. Ohsama Sentai King-Ohger vs. Donbrothers,6.8,36,26,Action
759. Break War,2.4,14,86,Action
760. Genis Aile 4: Cevahir & Ulvi,6.9,53,90,Action
764. Oversteer,4.9,18,86,Action
765. Fights Break Sphere 3,4.7,8,81,Action
766. Sith Wars: Episódio III - Fantasmas Dos Sith,8.6,114,99,Action
769. Re Xue Ran Shao,4.2,17,113,Action
771. Tranquility: Ghost Stories,7.6,53,88,Action
774. Shockwaves 2,2.8,147,79,Action
776. Klaantha,6.2,518,107,Action
779. Operation Wakaliga: Fate and Blood,6.7,11,66,Action
781. The Mystery of Humanoid Puppet,6.7,60,88,Action
782. Chinatown Chacha,5.1,54,103,Action
784. Opportunity,8.9,90,96,Action
786. Bullet,9.1,568,131,Action
788. GATAO: Like Father Like Son,6.8,66,100,Action
793. SMB-plush presents trick or death,8.8,16,120,Action
796. Blocking the Horse,6.4,11,94,Action
798. Charlotte Link - Ohne Schuld,5.5,41,89,Action
801. Joy Hanu Man,8.9,25,143,Action
803. Seven Heroes Beat the Monster,6.8,51,89,Action
804. The Kills,8.8,8,70,Action
806. Zhi Bao,5.7,17,100,Action
807. Battling to Survive,7.0,53,74,Action
813. Revenge,1.6,37,127,Action
817. Pushpaka Vimanam,5.6,16,137,Action
820. Guxim,7.7,34,75,Action
822. Cândido,6.3,58,99,Action
823. Wilhelm Gustloff,8.7,8,110,Action
824. Kreem,6.8,128,115,Action
828. Death Game,5.2,14,87,Action
